"filename", "language", "JSON", "TypeScript", "HTML", "Vue", "JavaScript", "Markdown", "comment", "blank", "total"
"d:\menkou\README.md", "Markdown", 0, 0, 0, 0, 0, 19, 0, 6, 25
"d:\menkou\babel.config.js", "JavaScript", 0, 0, 0, 0, 5, 0, 0, 1, 6
"d:\menkou\package.json", "JSON", 50, 0, 0, 0, 0, 0, 0, 1, 51
"d:\menkou\public\index.html", "HTML", 0, 0, 16, 0, 0, 0, 1, 1, 18
"d:\menkou\src\App.vue", "Vue", 0, 0, 0, 24, 0, 0, 0, 4, 28
"d:\menkou\src\components\HelloWorld.vue", "Vue", 0, 0, 0, 58, 0, 0, 0, 4, 62
"d:\menkou\src\main.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 2, 5
"d:\menkou\src\shims-vue.d.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 1, 1, 7
"d:\menkou\tsconfig.json", "JSON", 30, 0, 0, 0, 0, 0, 11, 1, 42
"Total", "-", 80, 8, 16, 82, 5, 19, 13, 21, 244
